,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
79,Inger,1493,265,592,25,60,11,24,1758,Danske Folkeparti
80,Støjberg,1721,321,707,29,59,11,24,2042,Danske Folkeparti
81,fælles,163,36,38,5,33,7,8,199,Danske Folkeparti
82,beslutningsforslag,201,48,65,5,40,10,13,249,Danske Folkeparti
83,procent,135,30,71,5,27,6,14,165,Danske Folkeparti
84,bestemt,76,17,28,1,76,17,28,93,Danske Folkeparti
85,gruppe,103,23,34,2,52,12,17,126,Danske Folkeparti
86,indvandrer,282,74,89,9,31,8,10,356,Danske Folkeparti
87,Forslaget,81,20,29,2,40,10,14,101,Danske Folkeparti
88,møghamrende,76,17,28,1,76,17,28,93,Danske Folkeparti
89,trætte,76,17,28,1,76,17,28,93,Danske Folkeparti
90,Jyllands-Posten,91,20,29,2,46,10,14,111,Danske Folkeparti
91,brug,146,34,26,6,24,6,4,180,Danske Folkeparti
92,udvandringslov,30,10,5,1,30,10,5,40,Danske Folkeparti
93,Folketinget,795,183,233,28,28,7,8,978,Danske Folkeparti
94,antal,154,46,31,7,22,7,4,200,Danske Folkeparti
95,klima,60,20,11,3,20,7,4,80,Danske Folkeparti
96,AFTALE,10,3,2,1,10,3,2,13,Danske Folkeparti
97,grøn,37,9,5,3,12,3,2,46,Danske Folkeparti
98,omstilling,10,3,2,1,10,3,2,13,Danske Folkeparti
99,landbrug,114,33,15,8,14,4,2,147,Danske Folkeparti
100,hånd,373,73,270,14,27,5,19,446,Danske Folkeparti
101,arbejdsplads,65,15,12,3,22,5,4,80,Danske Folkeparti
102,Reduktionen,10,3,2,1,10,3,2,13,Danske Folkeparti
103,udledning,10,3,2,1,10,3,2,13,Danske Folkeparti
104,frivillig,10,3,2,1,10,3,2,13,Danske Folkeparti
105,kollektiv,22,5,4,2,11,2,2,27,Danske Folkeparti
106,virkemiddel,10,3,2,1,10,3,2,13,Danske Folkeparti
107,kompensation,94,22,29,4,24,6,7,116,Danske Folkeparti
108,udtagning,10,3,2,1,10,3,2,13,Danske Folkeparti
109,Politikerne,19,3,2,1,19,3,2,22,Danske Folkeparti
110,dansk,3488,698,1255,85,41,8,15,4186,Danske Folkeparti
111,familie,518,103,256,14,37,7,18,621,Danske Folkeparti
112,fordeling,19,3,2,1,19,3,2,22,Danske Folkeparti
113,barselsperiode,19,3,2,1,19,3,2,22,Danske Folkeparti
114,ugebrev,700,176,196,29,24,6,7,876,Danske Folkeparti
115,Nyt,2420,715,678,128,19,6,5,3135,Danske Folkeparti
116,afsnit,13,1,1,1,13,1,1,14,Danske Folkeparti
117,Borgen,43,6,7,2,22,3,4,49,Danske Folkeparti
118,Backstage,13,1,1,1,13,1,1,14,Danske Folkeparti
119,interview,94,21,34,5,19,4,7,115,Danske Folkeparti
120,friske,13,1,1,1,13,1,1,14,Danske Folkeparti
121,politisk,704,158,188,18,39,9,10,862,Danske Folkeparti
122,forhandling,188,51,35,9,21,6,4,239,Danske Folkeparti
123,spil,174,32,38,4,44,8,10,206,Danske Folkeparti
124,galleri,13,1,1,1,13,1,1,14,Danske Folkeparti
125,klog,84,18,21,6,14,3,4,102,Danske Folkeparti
126,Durban-bagdøren,12,3,1,1,12,3,1,15,Danske Folkeparti
127,Søren,93,18,71,5,19,4,14,111,Danske Folkeparti
128,Espersen,48,12,12,4,12,3,3,60,Danske Folkeparti
129,barsel,35,9,11,1,35,9,11,44,Danske Folkeparti
130,EU-glade,35,9,11,1,35,9,11,44,Danske Folkeparti
131,parti,663,139,152,27,25,5,6,802,Danske Folkeparti
132,spytte,99,24,25,3,33,8,8,123,Danske Folkeparti
133,magt,139,27,26,6,23,4,4,166,Danske Folkeparti
134,Statsminister,143,30,53,6,24,5,9,173,Danske Folkeparti
135,løftebrud,99,25,22,3,33,8,7,124,Danske Folkeparti
136,Læs,64,19,17,4,16,5,4,83,Danske Folkeparti
137,straf,233,46,49,12,19,4,4,279,Danske Folkeparti
138,fængsel,206,40,52,8,26,5,6,246,Danske Folkeparti
139,badeferie,38,7,6,2,19,4,3,45,Danske Folkeparti
140,fængselsudspil,21,5,4,1,21,5,4,26,Danske Folkeparti
141,Beboerne,28,7,17,1,28,7,17,35,Danske Folkeparti
142,udrejsecenter,679,199,220,8,85,25,28,878,Danske Folkeparti
143,Kærshovedgaaard,28,7,17,1,28,7,17,35,Danske Folkeparti
144,gennemsnit,28,7,17,1,28,7,17,35,Danske Folkeparti
145,overtrædelse,40,8,20,2,20,4,10,48,Danske Folkeparti
146,lov,659,144,210,16,41,9,13,803,Danske Folkeparti
147,opgørelse,28,7,17,1,28,7,17,35,Danske Folkeparti
148,bundkriminelle,28,7,17,1,28,7,17,35,Danske Folkeparti
149,regel,125,31,51,6,21,5,8,156,Danske Folkeparti
150,DFs,612,125,183,24,26,5,8,737,Danske Folkeparti
151,Peter,126,25,38,6,21,4,6,151,Danske Folkeparti
152,Skaarup,80,18,30,4,20,4,8,98,Danske Folkeparti
153,Ritzau,28,7,17,1,28,7,17,35,Danske Folkeparti
154,talerstol,269,56,87,8,34,7,11,325,Danske Folkeparti
155,df2021,487,93,104,30,16,3,3,580,Danske Folkeparti
156,brite,49,7,16,1,49,7,16,56,Danske Folkeparti
157,beslutning,419,68,108,13,32,5,8,487,Danske Folkeparti
158,Brexit,74,13,21,3,25,4,7,87,Danske Folkeparti
159,Besøg,14,2,0,1,14,2,0,16,Danske Folkeparti
160,enmillionstemmer,14,2,0,1,14,2,0,16,Danske Folkeparti
161,menneske,419,90,89,16,26,6,6,509,Danske Folkeparti
162,handicappe,68,13,4,4,17,3,1,81,Danske Folkeparti
163,værdig,14,2,0,1,14,2,0,16,Danske Folkeparti
164,liv,303,61,61,10,30,6,6,364,Danske Folkeparti
165,megen,121,19,68,5,24,4,14,140,Danske Folkeparti
166,.@skaarup_df:”Vi,16,4,1,1,16,4,1,20,Danske Folkeparti
167,hård,112,19,35,6,19,3,6,131,Danske Folkeparti
168,ressource,16,4,1,1,16,4,1,20,Danske Folkeparti
169,politi,642,187,193,7,92,27,28,829,Danske Folkeparti
170,anklagemyndighed,16,4,1,1,16,4,1,20,Danske Folkeparti
171,kriminalforsorg,16,4,1,1,16,4,1,20,Danske Folkeparti
172,domstol,16,4,1,1,16,4,1,20,Danske Folkeparti
173,konvention,115,33,21,8,14,4,3,148,Danske Folkeparti
174,kriminel,1151,275,377,19,61,14,20,1426,Danske Folkeparti
175,udlænding,1190,291,377,19,63,15,20,1481,Danske Folkeparti
176,barnebrud,469,73,180,4,117,18,45,542,Danske Folkeparti
177,minister,785,144,360,18,44,8,20,929,Danske Folkeparti
178,galt,73,10,30,1,73,10,30,83,Danske Folkeparti
179,fornuftig,19,3,3,1,19,3,3,22,Danske Folkeparti
180,tussegamle,19,3,3,1,19,3,3,22,Danske Folkeparti
181,konsekvent,51,12,12,2,26,6,6,63,Danske Folkeparti
182,samfund,162,29,34,7,23,4,5,191,Danske Folkeparti
183,bred,10,2,2,1,10,2,2,12,Danske Folkeparti
184,skuldre,10,2,2,1,10,2,2,12,Danske Folkeparti
185,tung,10,2,2,1,10,2,2,12,Danske Folkeparti
186,byrde,19,7,3,2,10,4,2,26,Danske Folkeparti
187,fællesskab,160,41,23,10,16,4,2,201,Danske Folkeparti
188,vagt,22,6,6,3,7,2,2,28,Danske Folkeparti
189,hjertesag,12,3,4,1,12,3,4,15,Danske Folkeparti
190,omsorg,17,4,4,2,8,2,2,21,Danske Folkeparti
191,arbejdsvilkår,12,3,4,1,12,3,4,15,Danske Folkeparti
192,dygtig,31,8,6,3,10,3,2,39,Danske Folkeparti
193,medarbejder,20,7,4,2,10,4,2,27,Danske Folkeparti
194,sundhedssektor,59,13,10,2,30,6,5,72,Danske Folkeparti
195,grænsekontrol,148,23,21,5,30,5,4,171,Danske Folkeparti
196,udlændingestramninger,75,17,26,2,38,8,13,92,Danske Folkeparti
197,krone,446,100,166,17,26,6,10,546,Danske Folkeparti
198,Radikale,135,43,50,5,27,9,10,178,Danske Folkeparti
199,Venstre,138,34,66,4,34,8,16,172,Danske Folkeparti
200,kulde,38,4,7,1,38,4,7,42,Danske Folkeparti
201,hjemme.”#df2021,38,4,7,1,38,4,7,42,Danske Folkeparti
202,foreløbig,9,2,3,1,9,2,3,11,Danske Folkeparti
203,national,21,5,3,2,10,2,2,26,Danske Folkeparti
204,kompromisse,9,2,3,1,9,2,3,11,Danske Folkeparti
205,kære,9,2,3,1,9,2,3,11,Danske Folkeparti
206,ven,119,27,48,3,40,9,16,146,Danske Folkeparti
207,indflydelse,71,17,12,4,18,4,3,88,Danske Folkeparti
208,borgerlig,151,35,58,9,17,4,6,186,Danske Folkeparti
209,varm,9,2,2,1,9,2,2,11,Danske Folkeparti
210,hjerte,27,4,21,2,14,2,10,31,Danske Folkeparti
211,projekt,50,11,7,4,12,3,2,61,Danske Folkeparti
212,ideologisk,9,2,2,1,9,2,2,11,Danske Folkeparti
213,abstrakt,29,7,7,2,14,4,4,36,Danske Folkeparti
214,sidste,329,58,100,12,27,5,8,387,Danske Folkeparti
215,uomtvistelig,27,4,10,1,27,4,10,31,Danske Folkeparti
216,succes,27,4,10,1,27,4,10,31,Danske Folkeparti
217,landsskadelig,27,4,10,1,27,4,10,31,Danske Folkeparti
218,indvandringspolitik,27,4,10,2,14,2,5,31,Danske Folkeparti
219,stueren,27,4,10,1,27,4,10,31,Danske Folkeparti
220,særlig,54,11,10,4,14,3,2,65,Danske Folkeparti
221,indsats,111,25,16,5,22,5,3,136,Danske Folkeparti
222,søndag,25,5,4,3,8,2,1,30,Danske Folkeparti
223,flagdag,4,1,0,1,4,1,0,5,Danske Folkeparti
224,pårørende,23,4,0,3,8,1,0,27,Danske Folkeparti
225,kæmpe,259,76,85,11,24,7,8,335,Danske Folkeparti
226,grad,38,6,12,3,13,2,4,44,Danske Folkeparti
227,erhvervsorganisation,11,3,0,1,11,3,0,14,Danske Folkeparti
228,arbejdskraft,11,3,0,1,11,3,0,14,Danske Folkeparti
229,Danskere,118,21,26,2,59,10,13,139,Danske Folkeparti
230,job,130,28,27,4,32,7,7,158,Danske Folkeparti
231,enkelt,120,24,9,2,60,12,4,144,Danske Folkeparti
232,påstand,10,2,2,1,10,2,2,12,Danske Folkeparti
233,stærk,19,5,2,2,10,2,1,24,Danske Folkeparti
234,arbejdskraft-ressource,10,2,2,1,10,2,2,12,Danske Folkeparti
235,Børnebørnene,5,3,0,1,5,3,0,8,Danske Folkeparti
236,bekostning,5,3,0,1,5,3,0,8,Danske Folkeparti
237,velfærdssamfund,20,9,1,3,7,3,0,29,Danske Folkeparti
238,ældre,999,217,318,33,30,7,10,1216,Danske Folkeparti
239,værdipolitik,35,10,4,2,18,5,2,45,Danske Folkeparti
240,social,4,3,1,1,4,3,1,7,Danske Folkeparti
241,samvittighed,4,3,1,1,4,3,1,7,Danske Folkeparti
242,uholdbar,39,8,9,2,20,4,4,47,Danske Folkeparti
243,position,3,2,1,1,3,2,1,5,Danske Folkeparti
244,regeringsparti,21,5,5,2,10,2,2,26,Danske Folkeparti
245,opmærksom,3,2,1,1,3,2,1,5,Danske Folkeparti
246,støtteparti,233,56,69,6,39,9,12,289,Danske Folkeparti
247,syrer,111,27,21,3,37,9,7,138,Danske Folkeparti
248,valg,288,62,70,10,29,6,7,350,Danske Folkeparti
249,pligt,608,186,202,4,152,46,50,794,Danske Folkeparti
250,fremtid,109,30,27,6,18,5,4,139,Danske Folkeparti
251,binding,8,2,0,1,8,2,0,10,Danske Folkeparti
252,internationale,38,11,11,3,13,4,4,49,Danske Folkeparti
253,Kurt,152,30,27,4,38,8,7,182,Danske Folkeparti
254,Westergaards,49,10,13,2,24,5,6,59,Danske Folkeparti
255,somalisk,81,18,24,3,27,6,8,99,Danske Folkeparti
256,overfaldsmand,49,10,13,2,24,5,6,59,Danske Folkeparti
257,gal,8,2,0,1,8,2,0,10,Danske Folkeparti
258,max,18,4,7,2,9,2,4,22,Danske Folkeparti
259,statsborgerskab,943,180,226,18,52,10,13,1123,Danske Folkeparti
260,restriktiv,6,2,1,1,6,2,1,8,Danske Folkeparti
261,gave,240,42,82,4,60,10,20,282,Danske Folkeparti
262,grund,193,40,85,7,28,6,12,233,Danske Folkeparti
263,ydelse,195,34,66,4,49,8,16,229,Danske Folkeparti
264,skatteyder,4,2,0,1,4,2,0,6,Danske Folkeparti
265,positiv,4,2,0,1,4,2,0,6,Danske Folkeparti
266,Sikre,10,2,0,1,10,2,0,12,Danske Folkeparti
267,ødelægge,10,2,0,1,10,2,0,12,Danske Folkeparti
268,indvandring,213,47,46,7,30,7,7,260,Danske Folkeparti
269,rette,171,27,41,5,34,5,8,198,Danske Folkeparti
270,asyl,61,8,6,2,30,4,3,69,Danske Folkeparti
271,sikre,137,17,25,5,27,3,5,154,Danske Folkeparti
272,hjemsendelse,70,14,21,2,35,7,10,84,Danske Folkeparti
273,opbakning,44,12,4,2,22,6,2,56,Danske Folkeparti
274,daglig,10,2,0,1,10,2,0,12,Danske Folkeparti
275,samarbejde,28,7,4,3,9,2,1,35,Danske Folkeparti
276,kamp,985,188,246,22,45,9,11,1173,Danske Folkeparti
277,godte,79,21,23,5,16,4,5,100,Danske Folkeparti
278,selskab,9,4,3,1,9,4,3,13,Danske Folkeparti
279,26.,22,4,5,1,22,4,5,26,Danske Folkeparti
280,årsmøde,229,51,30,10,23,5,3,280,Danske Folkeparti
281,værdighed,22,5,2,1,22,5,2,27,Danske Folkeparti
282,retssikkerhed,60,13,10,2,30,6,5,73,Danske Folkeparti
283,udspil,213,41,48,8,27,5,6,254,Danske Folkeparti
284,krig,12,2,4,1,12,2,4,14,Danske Folkeparti
285,terror,115,22,31,4,29,6,8,137,Danske Folkeparti
286,mørke,38,6,15,2,19,3,8,44,Danske Folkeparti
287,kraft,70,10,14,3,23,3,5,80,Danske Folkeparti
288,gensidig,22,2,2,1,22,2,2,24,Danske Folkeparti
289,Gensidig,22,2,2,1,22,2,2,24,Danske Folkeparti
290,folk,271,57,118,9,30,6,13,328,Danske Folkeparti
291,ekstra,214,49,111,10,21,5,11,263,Danske Folkeparti
292,førtidspensionist,58,12,15,3,19,4,5,70,Danske Folkeparti
293,Drop,26,5,4,1,26,5,4,31,Danske Folkeparti
294,TAK,153,29,17,3,51,10,6,182,Danske Folkeparti
295,ære,51,10,6,1,51,10,6,61,Danske Folkeparti
296,ofre,51,10,6,1,51,10,6,61,Danske Folkeparti
297,gavn,110,34,21,3,37,11,7,144,Danske Folkeparti
298,sikkerhed,126,31,29,5,25,6,6,157,Danske Folkeparti
299,Større,11,2,7,1,11,2,7,13,Danske Folkeparti
300,jobpræmie,22,4,14,2,11,2,7,26,Danske Folkeparti
301,attraktiv,26,9,9,2,13,4,4,35,Danske Folkeparti
302,arbejde,133,21,24,7,19,3,3,154,Danske Folkeparti
303,lyst,11,2,7,1,11,2,7,13,Danske Folkeparti
304,pension,108,32,49,6,18,5,8,140,Danske Folkeparti
305,arbejdsmarked,67,19,15,3,22,6,5,86,Danske Folkeparti
306,hjemmeside,24,9,5,1,24,9,5,33,Danske Folkeparti
307,Rigsretten,72,21,15,3,24,7,5,93,Danske Folkeparti
308,live-streaming,24,9,5,1,24,9,5,33,Danske Folkeparti
309,Flere,181,35,62,7,26,5,9,216,Danske Folkeparti
310,politikreds,25,5,11,1,25,5,11,30,Danske Folkeparti
311,sen,108,28,39,5,22,6,8,136,Danske Folkeparti
312,bil,72,10,23,5,14,2,5,82,Danske Folkeparti
313,bryllup,25,5,11,1,25,5,11,30,Danske Folkeparti
314,blinke,25,5,11,1,25,5,11,30,Danske Folkeparti
315,rødt,25,5,11,1,25,5,11,30,Danske Folkeparti
316,mellemøstlig,25,5,11,1,25,5,11,30,Danske Folkeparti
317,tilstand,57,11,20,2,28,6,10,68,Danske Folkeparti
318,Sygeplejerskekonflikten,13,2,1,1,13,2,1,15,Danske Folkeparti
319,tydelig,79,12,27,3,26,4,9,91,Danske Folkeparti
320,besynge,13,2,1,1,13,2,1,15,Danske Folkeparti
321,Danske,57,16,13,3,19,5,4,73,Danske Folkeparti
322,Model,13,2,1,1,13,2,1,15,Danske Folkeparti
323,offentlig,304,45,75,8,38,6,9,349,Danske Folkeparti
324,vilkår,92,23,19,5,18,5,4,115,Danske Folkeparti
325,grin,140,21,35,3,47,7,12,161,Danske Folkeparti
326,Glostrup,40,8,14,1,40,8,14,48,Danske Folkeparti
327,kvinde,424,75,296,9,47,8,33,499,Danske Folkeparti
328,Islamisk,212,42,38,4,53,10,10,254,Danske Folkeparti
329,Stat,149,29,23,2,74,14,12,178,Danske Folkeparti
330,værdi,276,64,74,5,55,13,15,340,Danske Folkeparti
331,sundhedsordfører,26,6,15,1,26,6,15,32,Danske Folkeparti
332,fuld,159,20,72,3,53,7,24,179,Danske Folkeparti
333,sygeplejerskestrejken,26,6,15,1,26,6,15,32,Danske Folkeparti
334,Folketingssalen,89,16,25,2,44,8,12,105,Danske Folkeparti
335,fingre,26,6,15,1,26,6,15,32,Danske Folkeparti
336,KRISTIANS,39,11,15,1,39,11,15,50,Danske Folkeparti
337,STØTTE,271,47,100,3,90,16,33,318,Danske Folkeparti
338,SYGEPLEJERSKERNE,39,11,15,1,39,11,15,50,Danske Folkeparti
339,Forbyd,42,7,13,1,42,7,13,49,Danske Folkeparti
340,LTF,84,14,26,2,42,7,13,98,Danske Folkeparti
341,Højesteret,42,7,13,1,42,7,13,49,Danske Folkeparti
342,stilling,42,7,13,1,42,7,13,49,Danske Folkeparti
343,forbud,254,51,84,2,127,26,42,305,Danske Folkeparti
344,Loyal,42,7,13,1,42,7,13,49,Danske Folkeparti
345,Familia,42,7,13,1,42,7,13,49,Danske Folkeparti
346,bande,108,20,25,4,27,5,6,128,Danske Folkeparti
347,kaos,15,3,2,1,15,3,2,18,Danske Folkeparti
348,herske,15,3,2,1,15,3,2,18,Danske Folkeparti
349,slutte,111,19,35,4,28,5,9,130,Danske Folkeparti
350,afgift,180,31,39,5,36,6,8,211,Danske Folkeparti
351,dyr,176,25,30,7,25,4,4,201,Danske Folkeparti
352,besværlig,26,5,5,1,26,5,5,31,Danske Folkeparti
353,billig,78,14,15,2,39,7,8,92,Danske Folkeparti
354,Gad,45,6,59,1,45,6,59,51,Danske Folkeparti
355,dommer,110,18,69,3,37,6,23,128,Danske Folkeparti
356,Holm,45,6,59,1,45,6,59,51,Danske Folkeparti
357,Serup,45,6,59,1,45,6,59,51,Danske Folkeparti
358,Nye,187,47,87,8,23,6,11,234,Danske Folkeparti
359,Borgerlige,97,23,50,3,32,8,17,120,Danske Folkeparti
360,pege,25,8,18,1,25,8,18,33,Danske Folkeparti
361,femtedel,25,8,18,1,25,8,18,33,Danske Folkeparti
362,pil,25,8,18,1,25,8,18,33,Danske Folkeparti
363,Pernille,25,8,18,1,25,8,18,33,Danske Folkeparti
364,Vermunds,25,8,18,1,25,8,18,33,Danske Folkeparti
365,ulykkehjul,25,8,18,1,25,8,18,33,Danske Folkeparti
366,USA,11,4,4,1,11,4,4,15,Danske Folkeparti
367,penge,867,171,462,21,41,8,22,1038,Danske Folkeparti
368,Grønland,45,11,14,4,11,3,4,56,Danske Folkeparti
369,Politiken,48,17,22,3,16,6,7,65,Danske Folkeparti
370,amerikaner,11,4,4,1,11,4,4,15,Danske Folkeparti
371,blæse,61,11,48,2,30,6,24,72,Danske Folkeparti
372,rigsfællesskab,11,4,4,1,11,4,4,15,Danske Folkeparti
373,grønlænder,17,6,5,2,8,3,2,23,Danske Folkeparti
374,Karina,13,2,2,1,13,2,2,15,Danske Folkeparti
375,Adsbøl,13,2,2,1,13,2,2,15,Danske Folkeparti
376,syge,92,19,45,3,31,6,15,111,Danske Folkeparti
377,Marco,13,2,2,1,13,2,2,15,Danske Folkeparti
378,besøg,23,4,2,2,12,2,1,27,Danske Folkeparti
379,biologisk,13,2,2,1,13,2,2,15,Danske Folkeparti
380,forældre,135,22,40,4,34,6,10,157,Danske Folkeparti
381,time,29,5,3,2,14,2,2,34,Danske Folkeparti
382,uge,328,68,83,13,25,5,6,396,Danske Folkeparti
383,Erhverv,20,2,6,1,20,2,6,22,Danske Folkeparti
384,krav,305,53,252,9,34,6,28,358,Danske Folkeparti
385,butik,77,16,21,3,26,5,7,93,Danske Folkeparti
386,kontant,20,2,6,1,20,2,6,22,Danske Folkeparti
387,betaling,20,2,6,1,20,2,6,22,Danske Folkeparti
388,sårbar,20,2,6,1,20,2,6,22,Danske Folkeparti
389,erhvervsordfører,29,4,7,2,14,2,4,33,Danske Folkeparti
390,Hans,20,2,6,1,20,2,6,22,Danske Folkeparti
391,Skibby,20,2,6,1,20,2,6,22,Danske Folkeparti
392,brutal,25,4,7,1,25,4,7,29,Danske Folkeparti
393,voldtægtssag,25,4,7,1,25,4,7,29,Danske Folkeparti
394,forbindelse,110,22,27,4,28,6,7,132,Danske Folkeparti
395,gruppering,25,4,7,1,25,4,7,29,Danske Folkeparti
396,svar,457,90,192,19,24,5,10,547,Danske Folkeparti
397,14-årige,25,4,7,1,25,4,7,29,Danske Folkeparti
398,offer,53,8,13,3,18,3,4,61,Danske Folkeparti
399,Westergaard,103,20,14,2,52,10,7,123,Danske Folkeparti
400,Muhammedtegningerne,105,22,25,3,35,7,8,127,Danske Folkeparti
401,symbol,77,13,20,3,26,4,7,90,Danske Folkeparti
402,ytringsfrihed,331,69,78,7,47,10,11,400,Danske Folkeparti
403,forgæves,40,9,7,3,13,3,2,49,Danske Folkeparti
404,dommedagsprofetierne,25,7,6,1,25,7,6,32,Danske Folkeparti
405,dug,25,7,6,1,25,7,6,32,Danske Folkeparti
406,sol,25,7,6,1,25,7,6,32,Danske Folkeparti
407,økonomi,54,18,13,3,18,6,4,72,Danske Folkeparti
408,euro,201,55,40,5,40,11,8,256,Danske Folkeparti
409,pædofil,25,7,6,1,25,7,6,32,Danske Folkeparti
410,Storbritannien,112,27,38,3,37,9,13,139,Danske Folkeparti
411,hav,77,17,17,3,26,6,6,94,Danske Folkeparti
412,ALLE,37,5,14,1,37,5,14,42,Danske Folkeparti
413,CORONARESTRIKTIONER,37,5,14,1,37,5,14,42,Danske Folkeparti
414,Smittetallet,37,5,14,1,37,5,14,42,Danske Folkeparti
415,smitteudbrud,37,5,14,1,37,5,14,42,Danske Folkeparti
416,eventuel,37,5,14,1,37,5,14,42,Danske Folkeparti
417,restriktion,119,23,45,5,24,5,9,142,Danske Folkeparti
418,danskfolkeparti,155,27,32,4,39,7,8,182,Danske Folkeparti
